"Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"Wilfried Zahibo","NER","2019","M","513000","583000","2019-06-01"
"Wilfried Zahibo","NER","2019","M","513000","583000","2019-09-13"
"Joe Corona","LAG","2019","M","549999.96","578499.96","2019-09-13"
"Diego Chara","POR","2019","M","550000","572000","2019-06-01"
"Jamiro Monteiro","PHI","2019","M","516000","569200","2019-06-01"
"Diego Chara","POR","2019","M","550000.08","568750.08","2019-09-13"
"Gerso","SKC","2019","M","550008","550008","2019-06-01"
"Gerso","SKC","2019","M","550008","550008","2019-09-13"
"Cristian Penilla","NER","2019","M","500000.04","550000.04","2019-09-13"
"Cristian Espinoza","SJE","2019","M","500000.04","550000.04","2019-09-13"
"Cristian Penilla","NER","2019","M","500000","550000","2019-06-01"
"Joe Corona","LAG","2019","M","550000","550000","2019-06-01"
"Cristian Espinoza","SJE","2019","M","500000","550000","2019-06-01"
"Kevin Molino","MIN","2019","M","500004","546254","2019-06-01"
"Kevin Molino","MIN","2019","M","500004","546254","2019-09-13"
"Romario Ibarra","MIN","2019","M","500000.04","546250.04","2019-09-13"
"Romario Ibarra","MIN","2019","M","500000","546250","2019-06-01"
"Youness Mokhtar","CLB","2019","M","459996","533845","2019-09-13"
"Lee Nguyen","LAFC","2019","M","525000","530000","2019-06-01"
"Lee Nguyen","LAFC","2019","M","525000","530000","2019-09-13"
"Joevin Jones","SEA","2019","M","482004","528670.67","2019-09-13"
"Felipe","DCU","2019","M","500000.04","500000.04","2019-09-13"
"Alexandru Mitrita","NYC","2019","M","500000.04","500000.04","2019-09-13"
"Michael Barrios","FCD","2019","M","500000.04","500000.04","2019-09-13"
"Felipe","VAN","2019","M","500000","500000","2019-06-01"
"Alexandru Mitrita","NYC","2019","M","500000","500000","2019-06-01"
"Michael Barrios","FCD","2019","M","500000","500000","2019-06-01"
"Jefferson Savarino","RSL","2019","M","475008","498696","2019-06-01"
"Jefferson Savarino","RSL","2019","M","475008","498695.65","2019-09-13"
"Aníbal Godoy","SJE","2019","M","450000","498125","2019-06-01"
"Leonardo Bertone","CIN","2019","M","450000","496667","2019-06-01"
"Leonardo Bertone","CIN","2019","M","450000","496666.67","2019-09-13"
"Will Johnson","ORL","2019","M","455004","491004","2019-06-01"
"Will Johnson","ORL","2019","M","455004","491004","2019-09-13"
"Pablo Aránguiz","FCD","2019","M","406667","466667","2019-06-01"
"Pablo Aránguiz","FCD","2019","M","406666.68","466666.68","2019-09-13"
"Benny Feilhaber","SKC","2019","M","413400","463400","2019-06-01"
"Benny Feilhaber","SKC","2019","M","413400","463400","2019-09-13"
"Magnus Eriksson","SJE","2019","M","450000","450000","2019-06-01"
"Josué Colmán","ORL","2019","M","450000","450000","2019-06-01"
"Magnus Eriksson","SJE","2019","M","450000","450000","2019-09-13"
"Josué Colmán","ORL","2019","M","450000","450000","2019-09-13"
"Jack Price","COL","2019","M","430000","437500","2019-06-01"
"Jack Price","COL","2019","M","429999.96","437499.96","2019-09-13"
"Uriel Antuna","LAG","2019","M","420000","420000","2019-06-01"
"Uriel Antuna","LAG","2019","M","420000","420000","2019-09-13"
"Ethan Finlay","MIN","2019","M","400008","400008","2019-06-01"
"Ethan Finlay","MIN","2019","M","400008","400008","2019-09-13"
"Michaell Chirinos","VAN","2019","M","360000","396875","2019-09-13"
"Tomás Conechny","POR","2019","M","396000","396000","2019-09-13"
"Kekuta Manneh","CIN","2019","M","375000","391667","2019-06-01"
"Kekuta Manneh","CIN","2019","M","375000","391666.67","2019-09-13"
"Bismark Boateng","COL","2019","M","350004","391250","2019-06-01"
"Ismael Tajouri-Shradi","NYC","2019","M","350000.04","380500.04","2019-09-13"
"Ismael Tajouri-Shradi","NYC","2019","M","350000","380500","2019-06-01"
"Rodney Wallace","SKC","2019","M","360000","360000","2019-09-13"
"Emerson Hyndman","ATL","2019","M","360000","360000","2019-09-13"
"Ilsinho","PHI","2019","M","330000","357000","2019-06-01"
"Ilsinho","PHI","2019","M","330000","357000","2019-09-13"
"Miguel Ibarra","MIN","2019","M","309996","342318","2019-06-01"
"Miguel Ibarra","MIN","2019","M","309996","342318","2019-09-13"
"Sam Nicholson","COL","2019","M","300000","342073","2019-09-13"
"Marc Rzatkowski","NYRB","2019","M","300000","341667","2019-06-01"
"Marc Rzatkowski","NYRB","2019","M","300000","341666.67","2019-09-13"
"Thomás Chacón","MIN","2019","M","324999.96","336999.96","2019-09-13"
"Luis Díaz","CLB","2019","M","300000","333900","2019-09-13"
"Allan Cruz","CIN","2019","M","300000","333125","2019-06-01"
"Allan Cruz","CIN","2019","M","300000","333125","2019-09-13"
"Andreas Ivan","NYRB","2019","M","264000","330600","2019-06-01"
"Sean Davis","NYRB","2019","M","300000","327500","2019-06-01"
"Sean Davis","NYRB","2019","M","300000","327500","2019-09-13"
"Kelyn Rowe","SKC","2019","M","261400","326400","2019-06-01"
"Kelyn Rowe","RSL","2019","M","261399.96","326399.96","2019-09-13"
"Sam Nicholson","COL","2019","M","300000","313000","2019-06-01"
"Sebastian Lletget","LAG","2019","M","300000","312667","2019-06-01"
"Sebastian Lletget","LAG","2019","M","300000","312666.67","2019-09-13"
"Erickson Gallardo","TOR","2019","M","275004","306916.6","2019-09-13"
"Lassi Lappalainen","MTL","2019","M","302574","302574","2019-09-13"
"Rasmus Schüller","MIN","2019","M","275004","300004","2019-06-01"
"Rasmus Schüller","MIN","2019","M","275004","300004","2019-09-13"
"Lucas Rodríguez","DCU","2019","M","262000","298550","2019-06-01"
"Lucas Rodríguez","DCU","2019","M","261999.96","298549.86","2019-09-13"
"Cristhian Paredes","POR","2019","M","252000","283500","2019-06-01"
"Cristhian Paredes","POR","2019","M","252000","283500","2019-09-13"
"Emmanuel Ledesma","CIN","2019","M","249999.96","280833.29","2019-09-13"
"Emmanuel Ledesma","CIN","2019","M","250000","280833","2019-06-01"
"Gary Mackay-Steven","NYC","2019","M","260000.04","274833.37","2019-09-13"
"Valentín Castellanos","NYC","2019","M","249999.96","274806.41","2019-09-13"
"Valentín Castellanos","NYC","2019","M","250000","274806","2019-06-01"
"Teal Bunbury","NER","2019","M","225750","270750","2019-06-01"
"Eric Alexander","CIN","2019","M","270000","270000","2019-06-01"
"Eric Alexander","FCD","2019","M","270000","270000","2019-09-13"
"João Pedro","LAG","2019","M","240000","261000","2019-06-01"
"João Pedro","LAG","2019","M","240000","261000","2019-09-13"
"Ola Kamara","DCU","2019","M","240000","260000","2019-09-13"
"Marco Delgado","TOR","2019","M","253000","253000","2019-06-01"
"Marco Delgado","TOR","2019","M","252999.96","252999.96","2019-09-13"
"Johan Blomberg","COL","2019","M","250962","250962","2019-06-01"
"Johan Blomberg","COL","2019","M","250962","250962","2019-09-13"
"Shea Salinas","SJE","2019","M","249999.96","249999.96","2019-09-13"
"Russell Canouse","DCU","2019","M","247500","247500","2019-06-01"
"Russell Canouse","DCU","2019","M","247500","247500","2019-09-13"
"Jordan Allen","RSL","2019","M","238000","238000","2019-06-01"
"Jordan Allen","RSL","2019","M","237999.96","237999.96","2019-09-13"
"Harry Shipp","SEA","2019","M","235000","235000","2019-06-01"
"Harry Shipp","SEA","2019","M","234999.96","234999.96","2019-09-13"
"Jeisson Vargas","MTL","2019","M","225000","225000","2019-06-01"
"Jeisson Vargas","MTL","2019","M","225000","225000","2019-09-13"
"Kevin Kratz","ATL","2019","M","210000","222750","2019-06-01"
"Kevin Kratz","ATL","2019","M","210000","222750","2019-09-13"
"Pablo Ruiz","RSL","2019","M","200004","221004","2019-06-01"
"Pablo Ruiz","RSL","2019","M","200004","221004","2019-09-13"
"Orji Okwonkwo","MTL","2019","M","200000.04","220000.04","2019-09-13"
"Orji Okwonkwo","MTL","2019","M","200000","220000","2019-06-01"
"Dairon Asprilla","POR","2019","M","200000.04","213750.04","2019-09-13"
"Dairon Asprilla","POR","2019","M","200000","213750","2019-06-01"
"Brandon Servania","FCD","2019","M","160000.08","211000.08","2019-09-13"
"Brandon Servania","FCD","2019","M","160000","211000","2019-06-01"
"Robinho","ORL","2019","M","198000","205500","2019-09-13"
"Diego Fagundez","NER","2019","M","185000.04","205000.04","2019-09-13"
"Diego Fagundez","NER","2019","M","185000","205000","2019-06-01"
"Dillon Powers","ORL","2019","M","200000.04","200000.04","2019-09-13"
"Dillon Powers","ORL","2019","M","200000","200000","2019-06-01"
"Robinho","CLB","2019","M","198000","198000","2019-06-01"
"Ema Twumasi","FCD","2019","M","150000","196900","2019-06-01"
"Ema Twumasi","FCD","2019","M","150000","196900","2019-09-13"
"Andy Rose","VAN","2019","M","192500.04","192500.04","2019-09-13"
"Andy Rose","VAN","2019","M","192500","192500","2019-06-01"
"Jackson Yueill","SJE","2019","M","145000.08","190000.08","2019-09-13"
"Chris Pontius","LAG","2019","M","190000","190000","2019-06-01"
"Jackson Yueill","SJE","2019","M","145000","190000","2019-06-01"
"Chris Pontius","LAG","2019","M","189999.96","189999.96","2019-09-13"
"Emmanuel Boateng","DCU","2019","M","185000.04","185000.04","2019-09-13"
"Emmanuel Boateng","LAG","2019","M","185000","185000","2019-06-01"
"Ulises Segura","DCU","2019","M","169999.92","184249.92","2019-09-13"
"Nicolas Hasler","SKC","2019","M","168000","183667","2019-06-01"
"Nicolas Hasler","SKC","2019","M","168000","183666.67","2019-09-13"
"Francis Atuahene","FCD","2019","M","135000","179000","2019-06-01"
"Francis Atuahene","FCD","2019","M","135000","179000","2019-09-13"
"Mark-Anthony Kaye","LAFC","2019","M","166248","177811","2019-06-01"
"Mark-Anthony Kaye","LAFC","2019","M","166248","177810.5","2019-09-13"
"Nick DeLeon","TOR","2019","M","159528","175270","2019-06-01"
"Fafa Picault","PHI","2019","M","160000","173667","2019-06-01"
"Fafa Picault","PHI","2019","M","159999.96","173666.63","2019-09-13"
"Frankie Amaya","CIN","2019","M","110000.04","172000.04","2019-09-13"
"Frankie Amaya","CIN","2019","M","110000","172000","2019-06-01"
"Matías Pellegrini","MIA","2019","M","75000","170833.33","2019-09-13"
"Ulises Segura","DCU","2019","M","170000","170000","2019-06-01"
"Joe Gyau","CIN","2019","M","148200","168640","2019-09-13"
"Juninho Pereira","LAG","2019","M","150000","163125","2019-06-01"
"Juninho Pereira","LAG","2019","M","150000","163125","2019-09-13"
"Ricardo Clark","CLB","2019","M","160000","160000","2019-06-01"
"Ricardo Clark","CLB","2019","M","159999.96","159999.96","2019-09-13"
"Jimmy Medranda","SKC","2019","M","155004","155004","2019-06-01"
"Luke Mulholland","RSL","2019","M","155000.04","155000.04","2019-09-13"
"Luke Mulholland","RSL","2019","M","155000","155000","2019-06-01"
"Scott Caldwell","NER","2019","M","142313","153209","2019-06-01"
"Scott Caldwell","NER","2019","M","142312.56","153208.56","2019-09-13"
"Andy Polo","POR","2019","M","150000","150000","2019-06-01"
"Andy Polo","POR","2019","M","150000","150000","2019-09-13"
"Dániel Sallói","SKC","2019","M","130000","144125","2019-06-01"
"Dániel Sallói","SKC","2019","M","129999.96","139624.96","2019-09-13"
"Jay Chapman","TOR","2019","M","120000","138500","2019-06-01"
"Jay Chapman","TOR","2019","M","120000","138500","2019-09-13"
"Thomas Roberts","FCD","2019","M","110000","138000","2019-06-01"
"Thomas Roberts","FCD","2019","M","109999.92","137999.92","2019-09-13"
"Jonathan Lewis","COL","2019","M","100000.08","137500.08","2019-09-13"
"Eryk Williamson","POR","2019","M","120000","136500","2019-06-01"
"Eryk Williamson","POR","2019","M","120000","136500","2019-09-13"
"Eric Calvillo","SJE","2019","M","120000","136500","2019-09-13"
"Fabian Herbers","CHI","2019","M","135000","135000","2019-06-01"
"Mo Adams","CHI","2019","M","100000","135000","2019-06-01"
"Eric Calvillo","SJE","2019","M","120000","135000","2019-06-01"
"Fabian Herbers","CHI","2019","M","135000","135000","2019-09-13"
"Mo Adams","ATL","2019","M","99999.96","134999.96","2019-09-13"
"Griffin Dorsey","TOR","2019","M","90000","134000","2019-06-01"
"Griffin Dorsey","TOR","2019","M","90000","134000","2019-09-13"
"Julian Gressel","ATL","2019","M","114250","133000","2019-06-01"
"Julian Gressel","ATL","2019","M","114249.96","132999.96","2019-09-13"
"Alex Muyl","NYRB","2019","M","123750","127750","2019-06-01"
"Alex Muyl","NYRB","2019","M","123750","127750","2019-09-13"
"Tajon Buchanan","NER","2019","M","90000","126000","2019-06-01"
"Tajon Buchanan","NER","2019","M","90000","126000","2019-09-13"
"Sebastián Saucedo","RSL","2019","M","112500","123000","2019-06-01"
"Sebastián Saucedo","RSL","2019","M","112500","123000","2019-09-13"
"Jonathan Lewis","COL","2019","M","100000","121000","2019-06-01"
"Jack De Vries","PHI","2019","M","90000","120556.25","2019-09-13"
"Eduardo Sosa","CLB","2019","M","100000","120200","2019-06-01"
"Eduardo Sosa","CLB","2019","M","99999.96","120199.96","2019-09-13"
"Shamit Shome","MTL","2019","M","100000.08","120000.08","2019-09-13"
"Dillon Serna","COL","2019","M","120000","120000","2019-06-01"
"Dillon Serna","COL","2019","M","120000","120000","2019-09-13"
"Shamit Shome","MTL","2019","M","100000","119000","2019-06-01"
"Cristian Cásseres Jr","NYRB","2019","M","80000","118750","2019-06-01"
"Cristian Cásseres Jr","NYRB","2019","M","79999.92","118749.92","2019-09-13"
"Djordje Mihailovic","CHI","2019","M","111000","114600","2019-09-13"
"Djordje Mihailovic","CHI","2019","M","111000","111000","2019-06-01"
"Latif Blessing","LAFC","2019","M","93750","110416.67","2019-09-13"
"Chris Mueller","ORL","2019","M","95625","109375","2019-06-01"
"Chris Mueller","ORL","2019","M","95625","109375","2019-09-13"
"Collin Martin","MIN","2019","M","105000","105000","2019-06-01"
"Paxton Pomykal","FCD","2019","M","100000","105000","2019-06-01"
"Collin Martin","MIN","2019","M","105000","105000","2019-09-13"
"Paxton Pomykal","FCD","2019","M","99999.96","104999.96","2019-09-13"
"Siad Haji","SJE","2019","M","75000","104000","2019-06-01"
"Siad Haji","SJE","2019","M","75000","104000","2019-09-13"
"Latif Blessing","LAFC","2019","M","93750","103125","2019-06-01"
"Lass Bangoura","VAN","2019","M","100000","100000","2019-06-01"
"Lass Bangoura","VAN","2019","M","99999.96","99999.96","2019-09-13"
"Matt Hundley","COL","2019","M","65000.04","99000.04","2019-09-13"
"Brenden Aaronson","PHI","2019","M","70000.08","98309.48","2019-09-13"
"Matt Hundley","COL","2019","M","65000","98000","2019-06-01"
"Andrew Carleton","ATL","2019","M","85000","97400","2019-06-01"
"Andrew Carleton","ATL","2019","M","84999.96","97399.96","2019-09-13"
"Brenden Aaronson","PHI","2019","M","67500","95809","2019-06-01"
"Omir Fernandez","NYRB","2019","M","80000.04","95000.04","2019-09-13"
"Omir Fernandez","NYRB","2019","M","80000","95000","2019-06-01"
"Gianluca Busio","SKC","2019","M","90000","92500","2019-09-13"
"Gilbert Fuentes","SJE","2019","M","80000.04","92000.04","2019-09-13"
"Gilbert Fuentes","SJE","2019","M","80000","92000","2019-06-01"
"Brandt Bronico","CHI","2019","M","85000","90625","2019-06-01"
"Brandt Bronico","CHI","2019","M","84999.96","90624.96","2019-09-13"
"Chris Goslin","ATL","2019","M","90000","90000","2019-06-01"
"Gianluca Busio","SKC","2019","M","90000","90000","2019-06-01"
"Chris Goslin","ATL","2019","M","90000","90000","2019-09-13"
"Omar Browne","MTL","2019","M","70250","89781","2019-06-01"
"Cristian Martínez","CHI","2019","M","80000","88407","2019-06-01"
"Cristian Martínez","CHI","2019","M","80000.04","88406.71","2019-09-13"
"Zachary Herivaux","NER","2019","M","72352","87352","2019-06-01"
"Zachary Herivaux","NER","2019","M","72351.6","87351.6","2019-09-13"
"Mathieu Choinière","MTL","2019","M","80000.04","86390.04","2019-09-13"
"Mathieu Choinière","MTL","2019","M","80000","86390","2019-06-01"
"Nick Besler","RSL","2019","M","85000","85000","2019-06-01"
"Nick Besler","RSL","2019","M","84999.96","84999.96","2019-09-13"
"Juan Pablo Torres","NYC","2019","M","70250.04","84750.04","2019-09-13"
"Juan Pablo Torres","NYC","2019","M","70250","84750","2019-06-01"
"Cole Bassett","COL","2019","M","75000","84000","2019-06-01"
"Cole Bassett","COL","2019","M","75000","84000","2019-09-13"
"Derrick Etienne","NYRB","2019","M","77063","82063","2019-06-01"
"Derrick Etienne","CIN","2019","M","77062.56","82062.56","2019-09-13"
"Shaft Brewer","LAFC","2019","M","80000","81667","2019-06-01"
"Simon Colyn","VAN","2019","M","56250","81250","2019-06-01"
"Simon Colyn","VAN","2019","M","56250","81250","2019-09-13"
"Derrick Jones","PHI","2019","M","75000","80900","2019-06-01"
"Derrick Jones","PHI","2019","M","75000","80900","2019-09-13"
"Niko Hansen","CLB","2019","M","71663","79163","2019-06-01"
"Jacori Hayes","FCD","2019","M","71663","79163","2019-06-01"
"Jacori Hayes","FCD","2019","M","71662.56","79162.56","2019-09-13"
"Anthony Fontana","PHI","2019","M","70260","78677.6","2019-09-13"
"Gedion Zelalem","SKC","2019","M","56250","77917","2019-06-01"
"Gedion Zelalem","SKC","2019","M","56250","77916.67","2019-09-13"
"Jean-Christophe Koffi","NYRB","2019","M","70250.04","76031.29","2019-09-13"
"Jean-Christophe Koffi","NYRB","2019","M","70250","76031","2019-06-01"
"Josh Pérez","LAFC","2019","M","76000","76000","2019-06-01"
"Josh Pérez","LAFC","2019","M","75999.96","75999.96","2019-09-13"
"Efrain Álvarez","LAG","2019","M","70872","75606","2019-06-01"
"Efrain Álvarez","LAG","2019","M","70872","75605.8","2019-09-13"
"Tsubasa Endoh","TOR","2019","M","70250.04","75583.37","2019-09-13"
"Isaac Angking","NER","2019","M","70250.04","75250.04","2019-09-13"
"Isaac Angking","NER","2019","M","70250","75250","2019-06-01"
"Marcus Epps","NYRB","2019","M","70250","74542","2019-06-01"
"Marcus Epps","NYRB","2019","M","70250.04","74541.71","2019-09-13"
"Florian Valot","NYRB","2019","M","70872","74508.45","2019-09-13"
"Florian Valot","NYRB","2019","M","70872","74508","2019-06-01"
"Tsubasa Endoh","TOR","2019","M","70250","74250","2019-06-01"
"Nicolas Firmino","NER","2019","M","70250.04","73916.71","2019-09-13"
"Vincent Bezecourt","NYRB","2019","M","70875","73296","2019-06-01"
"Vincent Bezecourt","NYRB","2019","M","70875","73295.62","2019-09-13"
"Lagos Kunga","ATL","2019","M","70250.04","73250.04","2019-09-13"
"Lagos Kunga","ATL","2019","M","70250","73250","2019-06-01"
"Amando Moreno","CHI","2019","M","70250.04","72750.04","2019-09-13"
"Peter-Lee Vassell","LAFC","2019","M","70250.04","72750.04","2019-09-13"
"Amando Moreno","CHI","2019","M","70250","72750","2019-06-01"
